                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 2.2595,                  1.574,                 1.5284,                0.00436,                0.10976,                0.00336,                0.00103,                 3.4047,                    inf,                 7.7852,               0.049404,               0.049404,               0.049404
                     38,                 2.3222,                 1.8415,                  1.561,                0.00552,                0.07317,                0.00186,                0.00096,                 3.2773,                 243.49,                  5.274,                0.04937,                0.04937,                0.04937
                     39,                 2.1504,                 1.8284,                 1.4929,                0.06667,                0.03659,                0.01562,                0.00409,                 2.9352,                 152.78,                 3.8948,               0.049334,               0.049334,               0.049334
                     40,                 2.1587,                 1.6045,                 1.4855,                0.54839,                0.20732,                0.25485,                0.08461,                 2.7266,                 45.986,                 2.9796,               0.049298,               0.049298,               0.049298
                     41,                 2.2673,                 1.5922,                 1.5374,                0.21432,                0.45122,                0.25921,                0.10698,                 2.6537,                 26.387,                 2.8424,               0.049261,               0.049261,               0.049261
                     42,                 2.0387,                 1.5138,                 1.4329,                0.22892,                0.46341,                0.13754,                0.04982,                  2.591,                 97.065,                 2.8012,               0.049222,               0.049222,               0.049222
                     43,                  2.041,                 1.4599,                 1.4355,                0.20588,                0.34146,                0.12246,                0.04512,                 2.9153,                  126.5,                 3.8081,               0.049183,               0.049183,               0.049183
                     44,                 2.0373,                 1.4837,                 1.4591,                0.26566,                0.36585,                0.20123,                0.06987,                 2.8409,                 21.035,                 3.0999,               0.049143,               0.049143,               0.049143
                     45,                 2.0243,                 1.4603,                 1.4656,                0.36167,                0.29268,                0.19593,                0.06405,                 2.9178,                  4.774,                 3.0563,               0.049102,               0.049102,               0.049102
                     46,                 1.9509,                 1.4494,                  1.373,                0.27528,                0.28049,                0.15989,                0.05078,                 3.1709,                 12.389,                 4.5431,                0.04906,                0.04906,                0.04906
                     47,                 2.0011,                  1.307,                 1.3653,                 0.4214,                0.35366,                0.22096,                0.07825,                 2.7534,                 7.1082,                 2.8207,               0.049017,               0.049017,               0.049017
                     48,                 2.1623,                 1.4097,                 1.4194,                0.40691,                0.34146,                0.25247,                0.08552,                 2.7934,                 3.8945,                 2.9695,               0.048973,               0.048973,               0.048973
                     49,                 2.0831,                 1.6161,                 1.4479,                0.41439,                0.29268,                0.20396,                0.06941,                 2.8106,                 6.7167,                 3.2958,               0.048929,               0.048929,               0.048929
                     50,                 2.1365,                 1.5352,                 1.5425,                0.13205,                0.23171,                0.11641,                0.03999,                 3.1475,                 44.527,                   4.53,               0.048883,               0.048883,               0.048883
                     51,                 2.0508,                 1.4368,                 1.4609,                0.14933,                0.18293,                0.11005,                0.03289,                 3.2745,                 24.282,                 4.7534,               0.048836,               0.048836,               0.048836
                     52,                 1.9855,                 1.3904,                 1.4096,                0.08674,                0.17073,                0.10922,                0.03346,                 3.1227,                 54.738,                 3.6167,               0.048789,               0.048789,               0.048789
                     53,                 1.9523,                 1.3133,                 1.3725,                0.28123,                0.19512,                0.11673,                0.03267,                 3.3311,                 4.6628,                  4.154,                0.04874,                0.04874,                0.04874
                     54,                  1.969,                 1.4347,                 1.4385,                0.12931,                0.21951,                0.07531,                0.02512,                 3.5458,                  68.47,                 5.3136,               0.048691,               0.048691,               0.048691
                     55,                 2.0632,                 1.5301,                  1.523,                0.13049,                0.23171,                0.09223,                0.02636,                  3.195,                 62.393,                 3.8492,                0.04864,                0.04864,                0.04864
                     56,                 1.9432,                 1.4402,                  1.544,                0.62576,                0.30589,                0.30868,                0.09794,                 2.8448,                 4.1505,                 2.5061,               0.048589,               0.048589,               0.048589
